Handle,Title,SKU,Barcode,"Option1 Name","Option1 Value","Option2 Name","Option2 Value","Option3 Name","Option3 Value","Option Active",Stock,Price,"Price Promo",Tax,Taxable,"Reduced Rate",Wholesale,"Price Wholesale","Wholesale Exclusive"
dominante-conjunto,"Dominante - Violino",,,Tamanho,4/4,Corda,"Mi - Aço e cromo",Tensão,Light,true,,4.5,,23,true,,false,,false
dominante-conjunto,,,,,4/4,,"Mi - Aço e cromo",,Medium,true,,4.5,,,,,,,
dominante-conjunto,,,,,4/4,,"Mi - Aço e cromo",,Strong,true,,4.5,,,,,,,
dominante-conjunto,,,,,4/4,,"Mi - Aço e alumínio",,Light,true,,7,,,,,,,
dominante-conjunto,,,,,4/4,,"Mi - Aço e alumínio",,Medium,true,,7,,,,,,,
dominante-conjunto,,,,,4/4,,"Mi - Aço e alumínio",,Strong,true,,7,,,,,,,
dominante-conjunto,,,,,4/4,,"Lá - nylon e alumínio",,Light,true,,10,,,,,,,
dominante-conjunto,,,,,4/4,,"Lá - nylon e alumínio",,Medium,true,,10,,,,,,,
dominante-conjunto,,,,,4/4,,"Lá - nylon e alumínio",,Strong,true,,10,,,,,,,
dominante-conjunto,,,,,4/4,,"Ré - nylon e alumínio",,Light,true,,14,,,,,,,
dominante-conjunto,,,,,4/4,,"Ré - nylon e alumínio",,Medium,true,,14,,,,,,,
dominante-conjunto,,,,,4/4,,"Ré - nylon e alumínio",,Strong,true,,14,,,,,,,
dominante-conjunto,,,,,4/4,,"Ré - Nylon e prata",,Light,true,,15,,,,,,,
dominante-conjunto,,,,,4/4,,"Ré - Nylon e prata",,Medium,true,,15,,,,,,,
dominante-conjunto,,,,,4/4,,"Ré - Nylon e prata",,Strong,true,,15,,,,,,,
dominante-conjunto,,,,,4/4,,"Sol - Nylon e prata",,Light,true,,15,,,,,,,
dominante-conjunto,,,,,4/4,,"Sol - Nylon e prata",,Medium,true,,15,,,,,,,
dominante-conjunto,,,,,4/4,,"Sol - Nylon e prata",,Strong,true,,15,,,,,,,
dominante-conjunto,,,,,4/4,,Conjunto,,Light,true,,42,,,,,,,
dominante-conjunto,,,,,4/4,,Conjunto,,Medium,true,,42,,,,,,,
dominante-conjunto,,,,,4/4,,Conjunto,,Strong,true,,42,,,,,,,
dominante-conjunto,,,,,3/4,,"Mi - Aço e cromo",,Light,true,,4.5,,,,,,,
dominante-conjunto,,,,,3/4,,"Mi - Aço e cromo",,Medium,true,,4.5,,,,,,,
dominante-conjunto,,,,,3/4,,"Mi - Aço e cromo",,Strong,true,,4.5,,,,,,,
dominante-conjunto,,,,,3/4,,"Mi - Aço e alumínio",,Light,true,,7,,,,,,,
dominante-conjunto,,,,,3/4,,"Mi - Aço e alumínio",,Medium,true,,7,,,,,,,
dominante-conjunto,,,,,3/4,,"Mi - Aço e alumínio",,Strong,true,,7,,,,,,,
dominante-conjunto,,,,,3/4,,"Lá - nylon e alumínio",,Light,true,,10,,,,,,,
dominante-conjunto,,,,,3/4,,"Lá - nylon e alumínio",,Medium,true,,10,,,,,,,
dominante-conjunto,,,,,3/4,,"Lá - nylon e alumínio",,Strong,true,,10,,,,,,,
dominante-conjunto,,,,,3/4,,"Ré - nylon e alumínio",,Light,true,,14,,,,,,,
dominante-conjunto,,,,,3/4,,"Ré - nylon e alumínio",,Medium,true,,14,,,,,,,
dominante-conjunto,,,,,3/4,,"Ré - nylon e alumínio",,Strong,true,,14,,,,,,,
dominante-conjunto,,,,,3/4,,"Ré - Nylon e prata",,Light,true,,15,,,,,,,
dominante-conjunto,,,,,3/4,,"Ré - Nylon e prata",,Medium,true,,15,,,,,,,
dominante-conjunto,,,,,3/4,,"Ré - Nylon e prata",,Strong,true,,15,,,,,,,
dominante-conjunto,,,,,3/4,,"Sol - Nylon e prata",,Light,true,,15,,,,,,,
dominante-conjunto,,,,,3/4,,"Sol - Nylon e prata",,Medium,true,,15,,,,,,,
dominante-conjunto,,,,,3/4,,"Sol - Nylon e prata",,Strong,true,,15,,,,,,,
dominante-conjunto,,,,,3/4,,Conjunto,,Light,true,,42,,,,,,,
dominante-conjunto,,,,,3/4,,Conjunto,,Medium,true,,42,,,,,,,
dominante-conjunto,,,,,3/4,,Conjunto,,Strong,true,,42,,,,,,,
dominante-conjunto,,,,,1/2,,"Mi - Aço e cromo",,Light,true,,4.5,,,,,,,
dominante-conjunto,,,,,1/2,,"Mi - Aço e cromo",,Medium,true,,4.5,,,,,,,
dominante-conjunto,,,,,1/2,,"Mi - Aço e cromo",,Strong,true,,4.5,,,,,,,
dominante-conjunto,,,,,1/2,,"Mi - Aço e alumínio",,Light,true,,7,,,,,,,
dominante-conjunto,,,,,1/2,,"Mi - Aço e alumínio",,Medium,true,,7,,,,,,,
dominante-conjunto,,,,,1/2,,"Mi - Aço e alumínio",,Strong,true,,7,,,,,,,
dominante-conjunto,,,,,1/2,,"Lá - nylon e alumínio",,Light,true,,10,,,,,,,
dominante-conjunto,,,,,1/2,,"Lá - nylon e alumínio",,Medium,true,,10,,,,,,,
dominante-conjunto,,,,,1/2,,"Lá - nylon e alumínio",,Strong,true,,10,,,,,,,
dominante-conjunto,,,,,1/2,,"Ré - nylon e alumínio",,Light,true,,14,,,,,,,
dominante-conjunto,,,,,1/2,,"Ré - nylon e alumínio",,Medium,true,,14,,,,,,,
dominante-conjunto,,,,,1/2,,"Ré - nylon e alumínio",,Strong,true,,14,,,,,,,
dominante-conjunto,,,,,1/2,,"Ré - Nylon e prata",,Light,true,,15,,,,,,,
dominante-conjunto,,,,,1/2,,"Ré - Nylon e prata",,Medium,true,,15,,,,,,,
